VARIABLES="time" "Distance" "lon" "lat" "density" "Vx" "Vy" "Vz" "p" "Bx" "By" "Bz" "T"
ZONE
DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
2.012533682542e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.741873889291e+00 3.745001634049e+02 3.372516624000e+00 6.425225990681e+00 5.614076274094e+01 -3.854287199594e+01 3.261531135594e+01 3.248320305459e+00 3.014122701250e+04
2.012533796583e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.816943557513e+00 3.768811191229e+02 1.236574864149e+00 6.842875701764e+00 5.862288879648e+01 -3.849653181926e+01 3.222436256102e+01 3.658910455209e+00 3.117629146752e+04
2.012533910623e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.794872008892e+00 3.788599319147e+02 -6.136691120898e-01 7.153928398212e+00 6.039076791829e+01 -3.847687272258e+01 3.169123122593e+01 3.922272807915e+00 3.224508818846e+04
2.012534024663e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.686548687576e+00 3.804127774092e+02 -2.144864599463e+00 7.373134867164e+00 6.130691170279e+01 -3.850159243528e+01 3.110739114783e+01 4.061538846036e+00 3.325835651741e+04
2.012534138703e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.526408924202e+00 3.815374487284e+02 -3.345818824804e+00 7.487220084229e+00 6.144746708904e+01 -3.858971383814e+01 3.051396634778e+01 4.036489628120e+00 3.413859774805e+04
2.012534252744e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.340450786041e+00 3.821137209839e+02 -4.245126293611e+00 7.501623361520e+00 6.066602470601e+01 -3.870716107670e+01 2.984245788538e+01 3.860513924138e+00 3.467928762051e+04
2.012534366784e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.116084532538e+00 3.822169546342e+02 -4.868351322587e+00 7.481390093059e+00 5.920067342816e+01 -3.855914606106e+01 2.930326674611e+01 3.669449634578e+00 3.505800153691e+04
2.012534480824e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.940518112064e+00 4.057339739630e+02 -3.053138327685e+00 -9.429742244370e-01 2.975688245483e+02 -3.977386781181e+01 3.569967412449e+01 -1.593591021449e-01 1.328882228732e+05
2.012534594864e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.399985052246e+01 5.319628760269e+02 7.255592966854e+00 -3.893715327344e+01 2.663618887679e+03 -4.684477996667e+01 8.803244892524e+01 -1.762816894025e+01 6.781616354541e+05
2.012534708905e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.840777857810e+01 5.898398281520e+02 1.477114707786e+01 -5.394844444525e+01 4.432875536587e+03 -4.953496247581e+01 1.254065928223e+02 -2.419186086769e+01 8.723981998655e+05
2.012534822945e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.800487627141e+01 5.940551220062e+02 1.663486590550e+01 -5.271378026757e+01 4.314135496275e+03 -4.600078981265e+01 1.250953481990e+02 -1.901684875566e+01 8.675777718409e+05
2.012534936985e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.699849785550e+01 5.868132791306e+02 1.545690823022e+01 -4.757960051269e+01 3.835205572085e+03 -3.920509299940e+01 1.105670356199e+02 -9.537849688698e+00 8.169495589314e+05
2.012535051025e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.668580125623e+01 5.802189227401e+02 8.397030790374e+00 -4.500387866701e+01 3.532755420653e+03 -3.388340865476e+01 7.417654138155e+01 -5.283860152608e+00 7.668461120944e+05
2.012535165066e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.685164021630e+01 5.812047077166e+02 -7.098461063503e+00 -4.560562211570e+01 3.432276710480e+03 -3.026412315238e+01 2.056279788028e+01 -5.843379950721e+00 7.377146886490e+05
2.012535279106e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.645188485866e+01 5.841742826840e+02 -2.267204486327e+01 -5.122388273080e+01 3.271672626928e+03 -2.819274037111e+01 -4.267345423171e+01 -1.848862697350e+01 7.203912542342e+05
2.012535393146e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.456475816468e+01 5.840834365630e+02 -3.251825740366e+01 -5.709474391538e+01 2.775401181814e+03 -2.982842811264e+01 -9.894207713886e+01 -4.573659488385e+01 6.919695620980e+05
2.012535507186e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 1.104463569936e+01 5.798168571614e+02 -3.513278061098e+01 -5.962968478100e+01 2.119013898596e+03 -4.083649183207e+01 -1.265404614792e+02 -7.726655396873e+01 7.000351479326e+05
2.012535621227e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 7.947628360889e+00 5.726359353160e+02 -3.824992047297e+01 -5.416252853196e+01 1.542168967902e+03 -5.627326423775e+01 -1.274448872445e+02 -9.599556467653e+01 7.046268731387e+05
2.012535735267e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 5.713642709685e+00 5.670192798420e+02 -2.872152728866e+01 -4.656803844141e+01 1.128901874230e+03 -7.986604261799e+01 -1.169176880134e+02 -1.169057479649e+02 7.145161872703e+05
